********************************************************************************
Field Output Report, written Wed Nov 11 14:22:08 2020

Source 1
---------

   ODB: C:/Users/s159261/OneDrive - TU Eindhoven/Documents/Graduation/SimulationOutputs/80kPaNonLinear/80kPaNonLinear.odb
   Step: Step-Pressure
   Frame: Increment      8: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: Planar Robot-1

      Node Label     U.Magnitude
                          @Loc 1
---------------------------------
            9316         34.8372
            9317         35.1765
            9318         34.9558
            9319         34.7846
            9943         35.2643
           10075         35.0177
           10083         35.3376
           10085         35.3435
           10087         35.3233
           10101         35.3692
           10103         35.3456
           10120         35.0655
           10121         35.1059
           10122         35.0752
           10653         35.0345
           10655         34.9947
           10657         34.9941
           10857         35.2142
           10863         35.2774
           10866         34.7892
           10882         35.2737
           11022         34.8013
           11024         34.7925
           11026         34.7376
           11182         35.0695
           11205         35.0106
           11244         34.8949
           11280         34.6970
           11282         34.7295
           11287         34.6467
           11289         34.6137
           11290         34.6680
           11308         34.9609
           11329         35.0030
           11333         35.0471
           11350         34.9898
           11357         34.9461
           11361         35.0381
           11364         34.9866
           11411         35.3466
           11414         35.2570
           11415         35.2927
           11416         35.2805
           11537         35.3653
           11542         35.3231
           11544         35.3102
           11545         35.3307
           11547         35.3396
           11552         34.9421
           11553         34.9594
           11555         34.9252
           11556         35.1928
           11557         35.2109
           11558         35.2270
           11589         34.4822
           11593         34.5837
           11601         34.5193
           11643         35.0012
           11645         35.2385
           11647         35.1968
           11649         35.2276
           11660         35.2851
           11663         35.2941
           11664         35.2582
           11682         35.1787
           11683         35.2115
           11684         35.2184
           11710         35.0608
           11922         35.2660
           11924         35.3384
           11931         35.2221
           11934         35.2203
           11942         35.2668
           11944         35.2915
           11947         35.3062
           11948         35.2806
           12051         35.3266
           12052         35.3176
           12061         35.3543
           12062         35.3542
           12063         35.3640
           12065         35.3479
           12109         34.9666
           12118         35.3093
           12122         34.9809
           12123         34.9975
           12165         34.9038
           12171         34.9024
           12172         34.8569
           12187         34.9281
           12205         35.2219
           12209         35.1676
           12305         34.9270
           12314         34.8780
           12330         34.8797
           12355         35.4527
           12361         35.4280
           12363         35.4477
           12365         35.3975
           12486         35.4023
           12520         35.2154
           12532         35.2718
           12533         35.2554
           12609         35.1421
           12627         34.9791
           12629         35.0149
           12639         34.9393
           12648         34.9669
           12649         34.9515
           12658         35.2196
           12660         35.2426
           12662         35.2194
           12722         35.3698
           12724         35.3832
           12726         35.3838
           12731         35.3992
           12734         35.3728
           12805         34.8348
           12806         34.8104
           12808         34.7971
           12809         34.8650
           12960         35.4450
           12962         35.4095
           12964         35.4350
           13012         34.9150
           13075         35.2269
           13081         35.3096
           13082         35.3085
           13083         35.3351
           13097         35.2457
           13103         35.2618
           13104         35.2901
           13106         35.2748
           13109         35.4136
           13113         35.4162
           13115         35.4042
           13117         35.4070
           13188         34.8983
           13189         34.9287
           13190         34.9379
           13199         35.0065
           13203         34.9483
           13237         35.0159
           13238         35.0379
           13243         35.1048
           13245         35.0587
           13246         35.0851
           13262         35.3825
           13264         35.4107
           13266         35.4063
           13279         35.1839
           13281         35.2087
           13284         35.1678
           13406         35.1658
           13407         35.1838
           13408         35.2202
           13443         35.3696
           13444         35.3803
           13446         35.3706
           13462         35.3618
           13465         35.3836
           13466         35.3772
           13467         35.3784
           13495         35.4649
           13498         34.9060
           13500         34.9524
           13501         35.4502
           13503         35.4574
           13504         35.4330
           13508         35.4476
           13509         35.4428
           13518         35.4268
           13551         35.1867
           13609         35.3914
           13610         35.3868
           13611         35.3976
           13618         35.3587
           13719         35.3109
           13720         35.3195
           13722         35.3000
           13737         35.3504
           13743         35.3154
           13758         35.2923
           13760         35.2805
           13762         35.2718
           13827         35.1461
           13830         35.1203
           13832         35.1509
           13839         35.0796
           14032         35.4425
           14053         35.4390
           14056         35.4424
           14058         35.4374
           14071         35.1149
           14093         35.0503
           14094         35.0855
           14105         35.2227
           14311         34.9989
           14325         34.9494
           14326         34.9227
           14332         34.8359
           14334         34.8841
           14335         34.8572
           14342         34.9018
           14385         34.7921
           14391         34.8434
           14394         34.9417
           14406         34.9922
           14407         34.9869
           14409         35.0231
           14410         34.9891
           14604         35.0754
           14639         35.2776
           14640         35.2512
           14650         35.2253
           14701         35.1150
           14731         34.8494
           14735         34.9961
           14787         34.9914
           14788         34.9707
           14806         35.4483
           14821         35.4384
           14842         35.4711
           14843         35.4642
