0;30;993.907;0.196167;4096;150;0;0
0.01;30;993.914;0.202698;4096;150;0;0
0.02;30;993.917;0.205688;4096;150;0;0
0.03;30;993.772;0.0604248;4096;150;0;0
0.04;30;993.709;-0.00238037;4096;150;0;0
0.05;30;993.839;0.127808;4096;150;0;0
0.06;30;993.802;0.0905151;4096;150;0;0
0.07;30;993.798;0.0870972;4096;150;0;0
0.08;30;993.819;0.107422;4096;150;0;0
0.09;30;993.819;0.107422;4096;150;0;0
0.1;30;993.904;0.192871;4096;150;0;0
0.11;30;993.888;0.177002;4096;150;0;0
0.12;30;993.897;0.185303;4096;150;0;0
0.13;30;993.709;-0.00238037;4096;150;0;0
0.14;30;993.783;0.0717773;4096;150;0;0
0.15;30;993.888;0.17627;4096;150;0;0
0.16;30;993.888;0.176819;4096;150;0;0
0.17;30;993.841;0.129395;4096;150;0;0
0.18;30;993.945;0.233276;4096;150;0;0
0.19;30;993.907;0.196167;4096;150;0;0
0.2;30;993.795;0.083374;4096;150;0;0
0.21;30;993.924;0.212891;4096;150;0;0
0.22;30;993.924;0.212891;4096;150;0;0
0.23;30;993.828;0.116821;4096;150;0;0
0.24;30;993.861;0.149902;4096;150;0;0
0.25;30;993.799;0.0872192;4096;150;0;0
0.26;30;993.991;0.279907;4096;150;0;0
0.27;30;993.822;0.110413;4096;150;0;0
0.28;30;994.234;0.523193;4096;150;0;0
0.29;30;998.95;5.23822;3714.27;150;0;0
0.3;30;1005.17;11.4606;2780.91;150;0;0
0.31;30;1010.88;17.1707;1924.39;150;0;0
0.32;30;1017.11;23.4027;989.594;150;0;0
0.33;30;1022.73;29.0186;147.208;150;0;0
0.34;30;1028.33;34.6141;0;150;0;0
0.35;30;1032.96;39.2498;0;150;0;0
0.36;30;1037.97;44.2589;0;150;0;0
0.37;30;1043.05;49.3433;0;150;0;0
0.38;30;1047.39;53.6771;0;150;0;0
0.39;30;1051.09;57.3787;0;150;0;0
0.4;30;1054.91;61.1993;0;150;0;0
0.41;30;1058.8;65.0848;0;150;0;0
0.42;30;1061.64;67.9283;0;150;0;0
0.43;30;1064.6;70.8879;0;150;0;0
0.44;30;1068.1;74.3905;0;150;0;0
0.45;30;1070.74;77.0319;0;150;0;0
0.46;30;1072.6;78.8909;0;150;0;0
0.47;30;1075.42;81.7048;0;150;0;0
0.48;30;1077.06;83.3483;0;150;0;0
0.49;30;1078.41;84.6965;0;150;0;0
0.5;30;1081.2;87.4934;0;150;0;0
0.51;30;1082.49;88.7783;0;150;0;0
0.52;30;1083.95;90.2343;0;150;0;0
0.53;30;1085.07;91.3596;0;150;0;0
0.54;30;1081.98;88.2712;0;150;0;0
0.55;30;1078.72;85.0076;0;150;0;0
0.56;30;1071.59;77.8818;0;150;0;0
0.57;30;1065.62;71.9102;0;150;0;0
0.58;30;1059.88;66.1709;0;150;0;0
