0.989999, 0.989159, 0.281988, 0.989159, 0.281988
0.999999, 0.989158, 0.285508, 0.989158, 0.285508
1.01, 0.989158, 0.288945, 0.989158, 0.288945
1.02, 0.989159, 0.292297, 0.989159, 0.292297
1.03, 0.98916, 0.295564, 0.98916, 0.295564
1.04, 0.989162, 0.298745, 0.989162, 0.298745
1.05, 0.989164, 0.30184, 0.989164, 0.30184
1.06, 0.989167, 0.30485, 0.989167, 0.30485
1.07, 0.989171, 0.307773, 0.989171, 0.307773
1.08, 0.989174, 0.310611, 0.989174, 0.310611
1.09, 0.989179, 0.313364, 0.989179, 0.313364
1.1, 0.989183, 0.316032, 0.989183, 0.316032
1.11, 0.989188, 0.318616, 0.989188, 0.318616
1.12, 0.989193, 0.321117, 0.989193, 0.321117
1.13, 0.989199, 0.323536, 0.989199, 0.323536
1.14, 0.989205, 0.325873, 0.989205, 0.325873
1.15, 0.989211, 0.328129, 0.989211, 0.328129
1.16, 0.989217, 0.330307, 0.989217, 0.330307
1.17, 0.989223, 0.332406, 0.989223, 0.332406
1.18, 0.98923, 0.334429, 0.98923, 0.334429
1.19, 0.989236, 0.336377, 0.989236, 0.336376
1.2, 0.989243, 0.33825, 0.989243, 0.33825
1.21, 0.98925, 0.340051, 0.98925, 0.34005
1.22, 0.989256, 0.34178, 0.989256, 0.34178
1.23, 0.989263, 0.34344, 0.989263, 0.34344
1.24, 0.98927, 0.345032, 0.98927, 0.345032
1.25, 0.989277, 0.346557, 0.989277, 0.346557
1.26, 0.989284, 0.348018, 0.989284, 0.348017
1.27, 0.989291, 0.349415, 0.989291, 0.349414
1.28, 0.989298, 0.35075, 0.989298, 0.350749
1.29, 0.989305, 0.352025, 0.989305, 0.352024
1.3, 0.989312, 0.353241, 0.989312, 0.353241
1.31, 0.989318, 0.354401, 0.989318, 0.3544
1.32, 0.989325, 0.355505, 0.989325, 0.355505
1.33, 0.989332, 0.356555, 0.989332, 0.356555
1.34, 0.989338, 0.357554, 0.989338, 0.357554
1.35, 0.989345, 0.358502, 0.989345, 0.358502
1.36, 0.989351, 0.359401, 0.989351, 0.359401
1.37, 0.989358, 0.360253, 0.989358, 0.360252
1.38, 0.989364, 0.361059, 0.989364, 0.361058
1.39, 0.98937, 0.36182, 0.98937, 0.36182
1.4, 0.989376, 0.362539, 0.989376, 0.362539
1.41, 0.989382, 0.363217, 0.989382, 0.363217
1.42, 0.989387, 0.363855, 0.989387, 0.363855
1.43, 0.989393, 0.364455, 0.989393, 0.364455
1.44, 0.989398, 0.365018, 0.989398, 0.365018
1.45, 0.989404, 0.365546, 0.989404, 0.365546
1.46, 0.989409, 0.366039, 0.989409, 0.366039
1.47, 0.989414, 0.3665, 0.989414, 0.3665
1.48, 0.989419, 0.366929, 0.989419, 0.366929
1.49, 0.989424, 0.367328, 0.989424, 0.367328
1.5, 0.989429, 0.367698, 0.989429, 0.367698
1.51, 0.989433, 0.368041, 0.989433, 0.368041
1.52, 0.989438, 0.368357, 0.989438, 0.368357
1.53, 0.989442, 0.368647, 0.989442, 0.368647
1.54, 0.989446, 0.368914, 0.989446, 0.368914
1.55, 0.98945, 0.369157, 0.98945, 0.369158
1.56, 0.989454, 0.369379, 0.989454, 0.369379
1.57, 0.989458, 0.36958, 0.989458, 0.36958
1.58, 0.989462, 0.369761, 0.989462, 0.369761
1.59, 0.989465, 0.369923, 0.989465, 0.369923
1.6, 0.989469, 0.370066, 0.989469, 0.370067
1.61, 0.989472, 0.370193, 0.989472, 0.370194
1.62, 0.989475, 0.370304, 0.989475, 0.370304
1.63, 0.989478, 0.3704, 0.989478, 0.3704
1.64, 0.989481, 0.370481, 0.989481, 0.370481
1.65, 0.989484, 0.370548, 0.989484, 0.370548
1.66, 0.989487, 0.370603, 0.989487, 0.370603
1.67, 0.98949, 0.370645, 0.98949, 0.370645
1.68, 0.989492, 0.370676, 0.989492, 0.370676
1.69, 0.989495, 0.370697, 0.989495, 0.370697
1.7, 0.989497, 0.370707, 0.989497, 0.370707
1.71, 0.989499, 0.370708, 0.989499, 0.370708
1.72, 0.989501, 0.370701, 0.989501, 0.370701
1.73, 0.989503, 0.370685, 0.989503, 0.370685
1.74, 0.989505, 0.370662, 0.989505, 0.370662
1.75, 0.989507, 0.370631, 0.989507, 0.370631
1.76, 0.989509, 0.370595, 0.989509, 0.370595
1.77, 0.98951, 0.370552, 0.98951, 0.370552
1.78, 0.989512, 0.370504, 0.989512, 0.370504
1.79, 0.989514, 0.37045, 0.989514, 0.37045
1.8, 0.989515, 0.370392, 0.989515, 0.370392
1.81, 0.989516, 0.37033, 0.989516, 0.37033
1.82, 0.989518, 0.370264, 0.989518, 0.370264
1.83, 0.989519, 0.370194, 0.989519, 0.370194
1.84, 0.98952, 0.370122, 0.98952, 0.370122
1.85, 0.989521, 0.370047, 0.989521, 0.370047
1.86, 0.989522, 0.369969, 0.989522, 0.369969
1.87, 0.989523, 0.369889, 0.989523, 0.369889
1.88, 0.989524, 0.369808, 0.989524, 0.369808
1.89, 0.989525, 0.369725, 0.989525, 0.369725
1.9, 0.989525, 0.36964, 0.989525, 0.36964
1.91, 0.989526, 0.369555, 0.989526, 0.369555
1.92, 0.989527, 0.369469, 0.989527, 0.369468
1.93, 0.989528, 0.369381, 0.989528, 0.369381
1.94, 0.989528, 0.369294, 0.989528, 0.369294
1.95, 0.989529, 0.369207, 0.989529, 0.369207
1.96, 0.989529, 0.369118, 0.989529, 0.369118
1.97, 0.98953, 0.369031, 0.98953, 0.369031
1.98, 0.98953, 0.368944, 0.98953, 0.368944
1.99, 0.989531, 0.368856, 0.989531, 0.368856
2, 0.989531, 0.36877, 0.989531, 0.36877
2.01, 0.989532, 0.368685, 0.989532, 0.368685
2.02, 0.989532, 0.3686, 0.989532, 0.3686
2.03, 0.989532, 0.368517, 0.989532, 0.368516
2.04, 0.989532, 0.368434, 0.989532, 0.368434
2.05, 0.989533, 0.368352, 0.989533, 0.368352
2.06, 0.989533, 0.368272, 0.989533, 0.368272
2.07, 0.989533, 0.368193, 0.989533, 0.368193
2.08, 0.989533, 0.368115, 0.989533, 0.368115
2.09, 0.989533, 0.368038, 0.989533, 0.368038
