0, -5.16809e-011, -7.30737e-019, 4.42431e-019, -6.38822e-011, 0.0133768, -0.0133763
0.01, 4.94176e-010, -1.3148e-012, 1.31479e-012, 7.54029e-005, 0.0174808, -0.0174809
0.02, 1.03099e-009, 3.69882e-013, -3.69878e-013, 5.47925e-005, 0.0367913, -0.0367914
0.03, 7.20052e-010, -1.3164e-012, 1.3164e-012, 0.000214016, 0.0264869, -0.026487
0.04, 3.70762e-009, -1.33019e-012, 1.33018e-012, 0.000176868, 0.0516193, -0.0516199
0.05, -5.3287e-010, 3.70349e-012, -3.70349e-012, 0.000402518, 0.036476, -0.0364759
0.06, 2.9988e-009, -2.73331e-013, 2.7333e-013, 0.000355235, 0.0636401, -0.0636402
0.07, 3.65404e-009, 6.77195e-012, -6.77191e-012, 0.000631389, 0.0473432, -0.0473432
0.08, 4.50535e-010, -4.11359e-012, 4.11359e-012, 0.000579573, 0.074305, -0.0743049
0.09, 5.00495e-009, 7.7044e-012, -7.70436e-012, 0.000891994, 0.0585018, -0.058502
0.1, -2.23668e-009, -2.24193e-012, 2.24193e-012, 0.000840013, 0.0841749, -0.0841746
0.11, 5.03033e-009, 4.67002e-012, -4.67e-012, 0.00117665, 0.0695797, -0.0695798
0.12, 1.82375e-009, 5.90724e-012, -5.90723e-012, 0.00112757, 0.0935094, -0.0935094
0.13, 9.31289e-009, 1.09479e-011, -1.09478e-011, 0.0014785, 0.0803805, -0.0803806
0.14, -6.28212e-009, -6.2353e-012, 6.23531e-012, 0.0014342, 0.102429, -0.102428
0.15, 2.32622e-008, 8.02784e-012, -8.0278e-012, 0.00179137, 0.0908, -0.0908011
0.16, -1.88739e-008, 3.8006e-011, -3.80062e-011, 0.00175287, 0.110988, -0.110987
0.17, 2.20118e-008, -2.19391e-011, 2.19389e-011, 0.00210975, 0.100786, -0.100787
0.18, -1.66424e-008, 3.45252e-011, -3.45253e-011, 0.00207735, 0.119205, -0.119205
0.19, 2.17515e-008, -2.98412e-011, 2.98411e-011, 0.00242874, 0.110314, -0.110315
0.2, -1.67672e-008, 4.71255e-011, -4.71256e-011, 0.00240222, 0.127088, -0.127087
0.21, 3.30855e-008, -3.72338e-011, 3.72335e-011, 0.002744, 0.119374, -0.119375
0.22, -4.02849e-008, 4.62249e-011, -4.62251e-011, 0.00272283, 0.134631, -0.13463
0.23, 3.99384e-008, -4.11603e-011, 4.11599e-011, 0.00305177, 0.127961, -0.127962
0.24, -2.759e-008, 6.42292e-011, -6.42294e-011, 0.00303514, 0.141831, -0.14183
0.25, 3.66599e-008, -6.21417e-011, 6.21412e-011, 0.00334876, 0.136078, -0.136079
0.26, -2.31959e-008, 4.27779e-011, -4.27781e-011, 0.00333576, 0.148678, -0.148678
0.27, 2.92924e-008, -8.60992e-011, 8.60988e-011, 0.00363219, 0.143729, -0.14373
0.28, -2.15282e-008, 3.02185e-011, -3.02186e-011, 0.00362182, 0.155171, -0.15517
0.29, 3.12756e-008, -6.83748e-011, 6.83743e-011, 0.00389971, 0.150918, -0.150919
0.3, -4.34614e-008, 1.39632e-012, -1.39633e-012, 0.00389097, 0.161302, -0.161301
0.31, 6.55814e-008, -1.52093e-010, 1.52092e-010, 0.00414937, 0.157651, -0.157653
0.32, -3.61066e-008, -9.04546e-012, 9.04551e-012, 0.00414126, 0.167067, -0.167066
0.33, 4.854e-008, -1.29369e-010, 1.29368e-010, 0.00437967, 0.163938, -0.163939
0.34, -3.80115e-008, 2.56405e-011, -2.56406e-011, 0.00437124, 0.17247, -0.172469
0.35, 4.06603e-008, -6.02061e-011, 6.02057e-011, 0.00458939, 0.169782, -0.169783
0.36, -2.22168e-008, 1.62793e-011, -1.62793e-011, 0.00457981, 0.177507, -0.177506
