0;1028.61;0;1028.61;4096571.39;1600
0.01;1028.61;0.11;1028.72;4096571.28;1600
0.02;1028.61;0.03;1028.64;4096571.36;1600
0.03;1028.61;0.11;1028.72;4096571.28;1600
0.04;1028.61;1.49;1030.1;4096569.9;1600
0.05;1028.61;5.7;1034.31;4096565.69;1600
0.06;1028.61;9.27;1037.88;4096562.12;1600
0.07;1028.61;15.68;1044.29;4096555.71;1600
0.08;1028.61;19.86;1048.47;4096551.53;1600
0.09;1028.61;23.01;1051.62;4096548.38;1600
0.1;1028.61;23.58;1052.19;4096547.81;1600
0.11;1028.61;29.79;1058.4;4096541.6;1600
0.12;1028.61;37.04;1065.65;4096534.35;1600
0.13;1028.61;35.67;1064.28;4096535.72;1600
0.14;1028.61;43.97;1072.58;4096527.42;1600
0.15;1028.61;48.52;1077.13;4096522.87;1600
0.16;1028.61;48.21;1076.82;4096523.18;1600
0.17;1028.61;58.7;1087.31;4096512.69;1600
0.18;1028.61;55.62;1084.23;4096515.77;1600
0.19;1028.61;60.14;1088.75;4096511.25;1600
0.2;1028.61;66.52;1095.13;4096504.87;1600
0.21;1028.61;65.05;1093.66;4096506.34;1600
0.22;1028.61;75.38;1103.99;4096496.01;1600
0.23;1028.61;74.49;1103.1;4096496.9;1600
0.24;1028.61;76.57;1105.18;4096494.82;1600
0.25;1028.61;84.87;1113.48;4096486.52;1600
0.26;1028.61;81.41;1110.02;4096489.98;1600
0.27;1028.61;88.49;1117.1;4096482.9;1600
0.28;1028.61;93.81;1122.42;4096477.58;1600
0.29;1028.61;88.51;1117.12;4096482.88;1600
0.3;1028.61;100.41;1129.02;4096470.98;1600
0.31;1028.61;102.43;1131.04;4096468.96;1600
0.32;1028.61;98.46;1127.07;4096472.93;1600
0.33;1028.61;110.91;1139.52;4096460.48;1600
0.34;1028.61;111.56;1140.17;4096459.83;1600
0.35;1028.61;108.3;1136.91;4096463.09;1600
0.36;1028.61;116.98;1145.59;4096454.41;1600
0.37;1028.61;121.39;1150;4096450;1600
0.38;1028.61;116.16;1144.77;4096455.23;1600
0.39;1028.61;122.79;1151.4;4096448.6;1600
0.4;1028.61;128.82;1157.43;4096442.57;1600
0.41;1028.61;128.14;1156.75;4096443.25;1600
0.42;1028.61;140.8;1169.41;4096430.59;1600
0.43;1028.61;139.34;1167.95;4096432.05;1600
0.44;1028.61;133.4;1162.01;4096437.99;1600
0.45;1028.61;145.35;1173.96;4096426.04;1600
0.46;1028.61;149.34;1177.95;4096422.05;1600
0.47;1028.61;144.78;1173.39;4096426.61;1600
0.48;1028.61;150.63;1179.24;4096420.76;1600
0.49;1028.61;162.74;1191.35;4096408.65;1600
0.5;1028.61;158.04;1186.65;4096413.35;1600
0.51;1028.61;152.58;1181.19;4096418.81;1600
0.52;1028.61;163.8;1192.41;4096407.59;1600
0.53;1028.61;172.32;1200.93;4096399.07;1600
0.54;1028.61;166.03;1194.64;4096405.36;1600
0.55;1028.61;164.21;1192.82;4096407.18;1600
0.56;1028.61;174.99;1203.6;4096396.4;1600
0.57;1028.61;181.23;1209.84;4096390.16;1600
0.58;1028.61;175.35;1203.96;4096396.04;1600
0.59;1028.61;173.66;1202.27;4096397.73;1600
0.6;1028.61;185.06;1213.67;4096386.33;1600
0.61;1028.61;192.38;1220.99;4096379.01;1600
0.62;1028.61;186.56;1215.17;4096384.83;1600
0.63;1028.61;181.68;1210.29;4096389.71;1600
0.64;1028.61;194.13;1222.74;4096377.26;1600
0.65;1028.61;204.72;1233.33;4096366.67;1600
0.66;1028.61;197.81;1226.42;4096373.58;1600
0.67;1028.61;192.32;1220.93;4096379.07;1600
0.68;1028.61;196.51;1225.12;4096374.88;1600
0.69;1028.61;208.63;1237.24;4096362.76;1600
0.7;1028.61;208.86;1237.47;4096362.53;1600
0.71;1028.61;206.96;1235.57;4096364.43;1600
0.72;1028.61;201.59;1230.2;4096369.8;1600
0.73;1028.61;214.5;1243.11;4096356.89;1600
0.74;1028.61;224.25;1252.86;4096347.14;1600
0.75;1028.61;219.31;1247.92;4096352.08;1600
0.76;1028.61;216.04;1244.65;4096355.35;1600
0.77;1028.61;212.41;1241.02;4096358.98;1600
0.78;1028.61;225.81;1254.42;4096345.58;1600
0.79;1028.61;234.09;1262.7;4094.62337.3;1600
0.8;1028.61;231.26;1259.87;4096340.13;1600
0.81;1028.61;227.91;1256.52;4096343.48;1600
0.82;1028.61;223.03;1251.64;4096348.36;1600
0.83;1028.61;230.87;1259.48;4096340.52;1600
0.839999;1028.61;242.26;1270.87;4046.95329.13;1600
0.849999;1028.61;246.23;1274.84;4013.76325.16;1600
0.859999;1028.61;239.75;1268.36;4085.19331.64;1600
0.869999;1028.61;236.92;1265.53;4096334.47;1600
0.879999;1028.61;235.93;1264.54;4096335.46;1600
0.889999;1028.61;250.1;1278.71;4001.51321.29;1600
0.899999;1028.61;256.08;1284.69;3948.02315.31;1600
0.909999;1028.61;260.33;1288.94;3911.74311.06;1600
0.919999;1028.61;252.79;1281.4;3993.51318.6;1600
0.929999;1028.61;252.79;1281.4;3999.88318.6;1600
0.939999;1028.61;252.79;1281.4;4006.26318.6;1600
0.949999;1028.61;253.04;1281.65;4010.12318.35;1600
0.959999;1028.61;270.04;1298.65;3846.15301.35;1600
0.969999;1028.61;274.99;1303.6;3802.58296.4;1600
0.979999;1028.61;272.08;1300.69;3837.67299.31;1600
0.989999;1028.61;269.88;1298.49;3865.7301.51;1600
0.999999;1028.61;268.43;1297.04;3886.25302.96;1600
1.01;1028.61;266.48;1295.09;3911.85304.91;1600
