0;1035.73;-5.90736;1029.82;;2048
0.01;1035.73;-5.87501;1029.85;;2048
0.02;1035.73;-5.80909;1029.92;;2048
0.03;1035.73;-1.06361;1034.67;;2048
0.04;1035.73;7.82665;1043.56;;2048
0.05;1035.73;19.146;1054.88;;2048
0.06;1035.73;30.7327;1066.46;;2048
0.07;1035.73;39.7417;1075.47;;2048
0.08;1035.73;54.9379;1090.67;;2048
0.09;1035.73;64.2038;1099.93;;2048
0.1;1035.73;79.2349;1114.96;;2048
0.11;1035.73;89.3122;1125.04;;2048
0.12;1035.73;99.4034;1135.13;;2048
0.13;1035.73;105.701;1141.43;;2048
0.14;1035.73;119.372;1155.1;;2048
0.15;1035.73;128.53;1164.26;;2048
0.16;1035.73;136.996;1172.73;;2048
0.17;1035.73;153.043;1188.77;;2048
0.18;1035.73;153.199;1188.93;;2048
0.19;1035.73;166.187;1201.92;;2048
0.2;1035.73;168.559;1204.29;;2048
0.21;1035.73;177.8;1213.53;;2048
0.22;1035.73;184.466;1220.19;;2048
0.23;1035.73;190.151;1225.88;;2048
0.24;1035.73;198.057;1233.79;;2048
0.25;1035.73;201.993;1237.72;;2048
0.26;1035.73;213.257;1248.99;;2048
0.27;1035.73;217.091;1252.82;;2048
0.28;1035.73;223.253;1258.98;;2048
0.29;1035.73;227.265;1262.99;;2048
0.3;1035.73;233.453;1269.18;;2048
0.31;1035.73;236.426;1272.15;;2048
0.32;1035.73;244.067;1279.8;;2048
0.33;1035.73;249.838;1285.57;;2048
0.34;1035.73;258.703;1294.43;;2048
0.35;1035.73;263.017;1298.75;;2048
0.36;1035.73;263.745;1299.47;;2048
0.37;1035.73;267.605;1303.33;;2048
0.38;1035.73;277.691;1313.42;;2048
0.39;1035.73;278.905;1314.63;;2048
0.4;1035.73;282.582;1318.31;;2048
0.41;1035.73;285.603;1321.33;;2048
0.42;1035.73;294.422;1330.15;;2048
0.43;1035.73;293.951;1329.68;;2048
0.44;1035.73;299.318;1335.05;;2048
0.45;1035.73;303.336;1339.06;;2048
0.46;1035.73;307.655;1343.38;;2048
0.47;1035.73;310.885;1346.61;;2048
0.48;1035.73;321.103;1356.83;;2048
0.49;1035.73;317.113;1352.84;;2048
0.5;1035.73;323.91;1359.64;;2048
0.51;1035.73;324.699;1360.43;;2048
0.52;1035.73;324.64;1360.37;;2048
0.53;1035.73;330.207;1365.94;;2048
0.54;1035.73;336.925;1372.65;;2048
0.55;1035.73;336.268;1372;;2048
0.56;1035.73;341.082;1376.81;;2048
0.57;1035.73;344.845;1380.57;;2048
0.58;1035.73;348.381;1384.11;;2048
0.59;1035.73;350.204;1385.93;;2048
0.6;1035.73;355.993;1391.72;;2048
0.61;1035.73;354.883;1390.61;;2048
0.62;1035.73;361.414;1397.14;;2048
0.63;1035.73;361.156;1396.89;;2048
0.64;1035.73;360.906;1396.64;;2048
0.65;1035.73;364.284;1400.01;;2048
0.66;1035.73;372.69;1408.42;;2048
0.67;1035.73;370.071;1405.8;;2048
0.68;1035.73;372.321;1408.05;;2048
0.69;1035.73;375.03;1410.76;;2048
0.7;1035.73;378.702;1414.43;;2048
0.71;1035.73;382.734;1418.46;;2048
0.72;1035.73;381.13;1416.86;;2048
0.73;1035.73;384.45;1420.18;;2048
0.74;1035.73;394.147;1429.88;;2048
0.75;1035.73;387.291;1423.02;;2048
0.76;1035.73;391.354;1427.08;;2048
0.77;1035.73;393.561;1429.29;;2048
0.78;1035.73;398.739;1434.47;;2048
0.79;1035.73;396.357;1432.09;;2048
0.8;1035.73;402.419;1438.15;;2048
0.81;1035.73;401.042;1436.77;;2048
0.82;1035.73;401.307;1437.04;;2048
0.83;1035.73;401.071;1436.8;;2048
0.839999;1035.73;404.708;1440.44;;2048
0.849999;1035.73;412.484;1448.21;;2048
0.859999;1035.73;409.296;1445.03;;2048
0.869999;1035.73;410.262;1445.99;;2048
0.879999;1035.73;409.737;1445.47;;2048
0.889999;1035.73;418.351;1454.08;;2048
0.899999;1035.73;415.517;1451.25;;2048
0.909999;1035.73;420.602;1456.33;;2048
0.919999;1035.73;416.658;1452.39;;2048
0.929999;1035.73;418.019;1453.75;;2048
0.939999;1035.73;419.402;1455.13;;2048
0.949999;1035.73;429.729;1465.46;;2048
0.959999;1035.73;427.892;1463.62;;2048
0.969999;1035.73;425.543;1461.27;;2048
0.979999;1035.73;425.322;1461.05;;2048
0.989999;1035.73;427.078;1462.81;;2048
0.999999;1035.73;439.396;1475.12;;2048
1.01;1035.73;432.708;1468.44;;2048
1.02;1035.73;433.353;1469.08;;2048
1.03;1035.73;430.087;1465.82;;2048
1.04;1035.73;432.164;1467.89;;2048
1.05;1035.73;437.072;1472.8;;2048
1.06;1035.73;442.04;1477.77;;2048
1.07;1035.73;437.424;1473.15;;2048
1.08;1035.73;439.236;1474.97;;2048
1.09;1035.73;437.984;1473.71;;2048
1.1;1035.73;438.549;1474.28;;2048
1.11;1035.73;447.76;1483.49;;2048
1.12;1035.73;448.606;1484.34;;2048
1.13;1035.73;441.936;1477.67;;2048
1.14;1035.73;444.438;1480.17;;2048
1.15;1035.73;444.401;1480.13;;2048
1.16;1035.73;444.409;1480.14;;2048
1.17;1035.73;452.939;1488.67;;2048
1.18;1035.73;452.047;1487.78;;2048
1.19;1035.73;452.431;1488.16;;2048
1.2;1035.73;448.929;1484.66;;2048
1.21;1035.73;449.987;1485.72;;2048
1.22;1035.73;448.187;1483.92;;2048
1.23;1035.73;459.783;1495.51;;2048
1.24;1035.73;451.771;1487.5;;2048
